Accession,Protein,Organism_Name,Species,Genotype,Isolate,GenBank_Title,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YCZ08715,,Ebola virus,Orthoebolavirus zairense,,,Sequence 224 from patent US 12502424 B2,32,,,,,"Arnaud Barbe,N., Casimiro,D., Karlsson,A., Legastelois,I., Mistretta,N., Renauld,G., Mohamed Rokbi,B., Tran,K., Wu,M.",,2026-02-09,ssRNA(-)
YCZ08746,,Ebola virus,Orthoebolavirus zairense,,,Sequence 252 from patent US 12502424 B2,21,,,,,"Arnaud Barbe,N., Casimiro,D., Karlsson,A., Legastelois,I., Mistretta,N., Renauld,G., Mohamed Rokbi,B., Tran,K., Wu,M.",,2026-02-09,ssRNA(-)
YCV50311,,Ebola virus,Orthoebolavirus zairense,,,Sequence 811 from patent US 12263213 B2,32,,,,,"Arnaud Barbe,N., Cole,L., Karlsson,A., Sanchez,V., Tibbitts,T.",,2026-02-08,ssRNA(-)
YCV50327,,Ebola virus,Orthoebolavirus zairense,,,Sequence 826 from patent US 12263213 B2,21,,,,,"Arnaud Barbe,N., Cole,L., Karlsson,A., Sanchez,V., Tibbitts,T.",,2026-02-08,ssRNA(-)
YCX26829,,Ebola virus,Orthoebolavirus zairense,,,Sequence 3 from patent US 12370249 B2,676,,,,,"Robinson,H., Domi,A., Hellerstein,M.",,2026-02-08,ssRNA(-)
ARG43218,nucleoprotein,Ebola virus,Orthoebolavirus zairense,,,nucleoprotein [Ebola virus],739,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43219,polymerase cofactor VP35,Ebola virus,Orthoebolavirus zairense,,,polymerase cofactor VP35 [Ebola virus],340,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43220,matrix protein VP40,Ebola virus,Orthoebolavirus zairense,,,matrix protein VP40 [Ebola virus],326,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43221,small secreted glycoprotein GP: sGP,Ebola virus,Orthoebolavirus zairense,,,small secreted glycoprotein GP: sGP [Ebola virus],364,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43222,super small secreted glycoprotein GP,Ebola virus,Orthoebolavirus zairense,,,super small secreted glycoprotein GP [Ebola virus],297,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43223,envelope glycoprotein,Ebola virus,Orthoebolavirus zairense,,,envelope glycoprotein [Ebola virus],676,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43224,minor nucleoprotein VP30,Ebola virus,Orthoebolavirus zairense,,,minor nucleoprotein VP30 [Ebola virus],288,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43225,membrane-associated protein VP24,Ebola virus,Orthoebolavirus zairense,,,membrane-associated protein VP24 [Ebola virus],251,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43226,RNA-directed RNA polymerase,Ebola virus,Orthoebolavirus zairense,,,RNA-directed RNA polymerase [Ebola virus],2212,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
ARG43227,nucleoprotein,Ebola virus,Orthoebolavirus zairense,,,nucleoprotein [Ebola virus],739,Gabon,Gabon,Macaca fascicularis,,"Guedj,J., Piorkowski,G., Jacquot,F., Madelain,V., Nguyen,T.H.T., Gunther,S., Carbonelle,C., Mentre,F., de Lamballerie,X., Raoul,H.",2001,2018-07-13,ssRNA(-)
