coding_haplotype_id,record_count,sequence_length_nt,accessions
VP35_CDS_H001,91,1023,KY785936;KY785937;KY785938;KY785939;KY785940;KY785941;KY785942;KY785943;KY785944;KY785945;KY785946;KY785947;KY785948;KY785949;KY785950;KY785951;KY785952;KY785953;KY785954;KY785955;KY785956;KY785957;KY785958;KY785959;KY785960;KY785961;KY785962;KY785963;KY785964;KY785965;KY785966;KY785967;KY785968;KY785969;KY785971;KY785972;KY785973;KY785974;KY785975;KY785976;KY785977;KY785978;KY785979;KY785980;KY785981;KY785982;KY785983;KY785984;KY785985;KY785986;KY785987;KY785988;KY785989;KY785990;KY785991;KY785992;KY785993;KY785994;KY785995;KY785996;KY785997;KY785998;KY785999;KY786000;KY786001;KY786002;KY786003;KY786004;KY786005;KY786006;KY786007;KY786008;KY786009;KY786010;KY786011;KY786012;KY786013;KY786014;KY786015;KY786016;KY786017;KY786018;KY786019;KY786020;KY786021;KY786022;KY786023;KY786024;KY786025;KY786026;KY786027
VP35_CDS_H002,13,1023,KR063672;KU182898;KU182899;KU182900;KU182901;KU182902;KU182903;KU182904;KU182905;KU182906;KU182907;KU182908;KU182909
VP35_CDS_H003,2,1023,AF086833;KR063671
VP35_CDS_H004,1,1023,KY785970
VP35_CDS_H005,1,1023,LT605058
