Accession,Protein,Organism_Name,Species,Genotype,Isolate,GenBank_Title,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_009246341,second secreted glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,second secreted glycoprotein [Sudan ebolavirus],318,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2016-04-20,ssRNA(-)
YP_138520,nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,nucleoprotein [Sudan ebolavirus],738,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138521,polymerase complex protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,polymerase complex protein [Sudan ebolavirus],329,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138522,matrix protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,matrix protein [Sudan ebolavirus],326,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138523,spike glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,spike glycoprotein [Sudan ebolavirus],676,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138524,small secreted glycoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,small secreted glycoprotein [Sudan ebolavirus],372,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138525,minor nucleoprotein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,minor nucleoprotein [Sudan ebolavirus],288,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138526,membrane-associated protein,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,membrane-associated protein [Sudan ebolavirus],251,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YP_138527,RNA-dependent RNA polymerase,Sudan ebolavirus,Orthoebolavirus sudanense,,Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892,RNA-dependent RNA polymerase [Sudan ebolavirus],2210,Uganda,Uganda,Homo sapiens,,"Sanchez,A., Rollin,P.E.",,2004-11-15,ssRNA(-)
YCV71843,,Sudan ebolavirus,Orthoebolavirus sudanense,,,Sequence 4 from patent US 12280100 B2,676,,,,,"Singh,K., Spearman,P.",,2026-02-08,ssRNA(-)
