Accession,Protein,Organism_Name,Species,Genotype,Isolate,GenBank_Title,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_003815423,nucleoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,nucleoprotein [Tai Forest ebolavirus],739,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815424,polymerase complex protein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,polymerase complex protein [Tai Forest ebolavirus],341,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815425,matrix protein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,matrix protein [Tai Forest ebolavirus],326,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815426,spike glycoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,spike glycoprotein [Tai Forest ebolavirus],676,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815427,small secreted glycoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,small secreted glycoprotein [Tai Forest ebolavirus],365,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815428,second secreted glycoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,second secreted glycoprotein [Tai Forest ebolavirus],302,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815429,minor nucleoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,minor nucleoprotein [Tai Forest ebolavirus],289,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815430,membrane-associated protein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,membrane-associated protein [Tai Forest ebolavirus],251,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
YP_003815431,RNA-dependent RNA polymerase,Tai Forest ebolavirus,Orthoebolavirus taiense,,Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI,RNA-dependent RNA polymerase [Tai Forest ebolavirus],2210,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.",1994-11,2010-08-05,ssRNA(-)
AWK96622,nucleoprotein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Ebola virus/H.sapiens-tc/Cote d'Ivoire/1994/Tai Forest-R4371,nucleoprotein [Tai Forest ebolavirus],739,Cote d'Ivoire: Tai Forest,Cote d'Ivoire,Homo sapiens,blood,"Minogue,T., Rossi,C., Wasieloski,L., Coyne,S., Olschner,S., Kearney,B., Schoepp,R., Zhao,X., Nagaraj,S., Vavikolanu,K., Nadendla,S., Sadzewicz,L., Tallon,L., Sichtig,H.",1994,2018-05-23,ssRNA(-)
AWK96623,polymerase complex protein,Tai Forest ebolavirus,Orthoebolavirus taiense,,Ebola virus/H.sapiens-tc/Cote d'Ivoire/1994/Tai Forest-R4371,polymerase complex protein [Tai Forest ebolavirus],341,Cote d'Ivoire: Tai Forest,Cote d'Ivoire,Homo sapiens,blood,"Minogue,T., Rossi,C., Wasieloski,L., Coyne,S., Olschner,S., Kearney,B., Schoepp,R., Zhao,X., Nagaraj,S., Vavikolanu,K., Nadendla,S., Sadzewicz,L., Tallon,L., Sichtig,H.",1994,2018-05-23,ssRNA(-)
