Accession,Protein,Organism_Name,Species,Genotype,Isolate,GenBank_Title,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_009246340,second secreted glycoprotein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,second secreted glycoprotein [Reston ebolavirus],331,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2016-04-20,ssRNA(-)
NP_690580,nucleoprotein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,nucleoprotein [Reston ebolavirus],739,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690581,polymerase complex protein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,polymerase complex protein [Reston ebolavirus],329,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690582,matrix protein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,matrix protein [Reston ebolavirus],331,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690583,spike glycoprotein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,spike glycoprotein [Reston ebolavirus],677,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690584,small secreted glycoprotein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,small secreted glycoprotein [Reston ebolavirus],367,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690585,minor nucleoprotein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,minor nucleoprotein [Reston ebolavirus],287,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690586,membrane-associated protein,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,membrane-associated protein [Reston ebolavirus],251,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
NP_690587,RNA-dependent RNA polymerase,Reston ebolavirus,Orthoebolavirus restonense,,Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania,RNA-dependent RNA polymerase [Reston ebolavirus],2212,,USA,,,"Groseth,A., Stroher,U., Theriault,S., Feldmann,H., Stroeher,U.",,2002-09-04,ssRNA(-)
QNF60332,NP,Reston ebolavirus,Orthoebolavirus restonense,,R08,NP [Reston ebolavirus],739,USA,USA,Sus scrofa domesticus,,"Haddock,E., Saturday,G., Feldmann,F., Hanley,P.W., Okumura,A., Lovaglio,J., Long,D., Thomas,T., Scott,D.P., Pulliam,M., Richt,J.A., de Wit,E., Feldmann,H., Williamson,B.",2018-11-19,2020-08-22,ssRNA(-)
QNF60333,VP35,Reston ebolavirus,Orthoebolavirus restonense,,R08,VP35 [Reston ebolavirus],329,USA,USA,Sus scrofa domesticus,,"Haddock,E., Saturday,G., Feldmann,F., Hanley,P.W., Okumura,A., Lovaglio,J., Long,D., Thomas,T., Scott,D.P., Pulliam,M., Richt,J.A., de Wit,E., Feldmann,H., Williamson,B.",2018-11-19,2020-08-22,ssRNA(-)
